ModelType,Feature,Ordered,Weeks,Seasons,TestSize,TrainStart,TestStart,OurRPS,BestTune,timestamp
decision_tree,A+B+C,TRUE,44,2018-2019,10,NA,NA,0.234476033057851, cp 0.055,2018-12-17 09:22:41
decision_tree,A+B+C,FALSE,44,2018-2019,10,NA,NA,0.234476033057851, cp 0.055,2018-12-17 09:23:00
decision_tree,A+B+C,TRUE,45,2018-2019,10,NA,NA,0.164276991522095, cp 0.065,2018-12-17 09:23:19
decision_tree,A+B+C,FALSE,45,2018-2019,10,NA,NA,0.161694367109953, cp 0.07,2018-12-17 09:23:38
decision_tree,A+B+C,TRUE,47,2018-2019,10,NA,NA,0.238292776103031, cp 0.06,2018-12-17 09:23:56
decision_tree,A+B+C,FALSE,47,2018-2019,10,NA,NA,0.239009297461392, cp 0.07,2018-12-17 09:24:15
decision_tree,A+B+C,TRUE,48,2018-2019,10,NA,NA,0.149240142380482, cp 0.035,2018-12-17 09:24:34
decision_tree,A+B+C,FALSE,48,2018-2019,10,NA,NA,0.149240142380482, cp 0.035,2018-12-17 09:24:53
decision_tree,A+B+C,TRUE,49,2018-2019,20,NA,NA,0.199900655180854, cp 0.035,2018-12-17 09:25:12
decision_tree,A+B+C,FALSE,49,2018-2019,20,NA,NA,0.199900655180854, cp 0.035,2018-12-17 09:25:31
decision_tree,A+B+C,TRUE,50,2018-2019,7,NA,NA,0.223367309924718, cp 0.035,2018-12-17 09:25:49
decision_tree,A+B+C,FALSE,50,2018-2019,7,NA,NA,0.223367309924718, cp 0.035,2018-12-17 09:26:08
random_forest,A,FALSE,43,2018-2019,10,NA,NA,0.1989272, mtry 5,2018-12-17 14:24:25
decision_tree,A,FALSE,43,2018-2019,10,NA,NA,0.1240615983801, cp 0.05,2018-12-17 14:24:45
gradient_boosting,A,FALSE,43,2018-2019,10,NA,NA,0.125504691014093, n.trees 450 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-17 14:34:46
random_forest,A,FALSE,35,2018-2019,10,NA,NA,0.286736, mtry 7.5,2018-12-18 01:04:54
decision_tree,A,FALSE,35,2018-2019,10,NA,NA,0.229604199464805, cp 0.07,2018-12-18 01:05:14
gradient_boosting,A,FALSE,35,2018-2019,10,NA,NA,0.183018086072923, n.trees 250 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-18 01:11:53
glmnet,A,FALSE,35,2018-2019,10,NA,NA,0.176930897268476, lambda 0.00487127317590933,2018-12-18 01:12:35
random_forest,A,FALSE,37,2018-2019,10,NA,NA,0.221938, mtry 4,2018-12-18 01:15:19
decision_tree,A,FALSE,37,2018-2019,10,NA,NA,0.301996652958037, cp 0.07,2018-12-18 01:15:40
gradient_boosting,A,FALSE,37,2018-2019,10,NA,NA,0.191848013770416, n.trees 50 interaction.depth 1 shrinkage 0.05 n.minobsinnode 5,2018-12-18 01:22:15
glmnet,A,FALSE,37,2018-2019,10,NA,NA,0.165898355869427, lambda 0.00415703175084016,2018-12-18 01:22:56
random_forest,A,FALSE,38,2018-2019,10,NA,NA,0.2206098, mtry 7,2018-12-18 01:25:45
decision_tree,A,FALSE,38,2018-2019,10,NA,NA,0.136213984467895, cp 0.07,2018-12-18 01:26:04
random_forest,A,FALSE,48,2018-2019,10,NA,NA,0.1645114, mtry 4,2018-12-18 21:54:34
decision_tree,A,FALSE,48,2018-2019,10,NA,NA,0.160573395450363, cp 0.06,2018-12-18 21:54:44
gradient_boosting,A,FALSE,48,2018-2019,10,NA,NA,0.187624532154141, n.trees 150 interaction.depth 1 shrinkage 0.01 n.minobsinnode 10,2018-12-18 22:02:28
glmnet,A,FALSE,48,2018-2019,10,NA,NA,0.183824796498545, lambda 0.0134648054860135,2018-12-18 22:03:06
ord_rf,A,TRUE,48,2018-2019,10,NA,NA,0.177931038,,2018-12-18 22:20:21
random_forest,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.233241547445255, mtry 7.5,2018-12-18 22:31:11
decision_tree,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.202258255845621, cp 0.15,2018-12-18 22:31:21
gradient_boosting,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.175722942326172, n.trees 250 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-18 22:38:22
glmnet,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.169080306349687, lambda 0.00487127317590933,2018-12-18 22:39:05
